"","prize","prizeLabel","person","personLabel","pic","sexlabel","countrylabel","birth","death"
"258","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5932341","Joaquín Pérez Azaústre","","masculino","España","",""
"259","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5935061","Jorge Ferrer Vidal","","masculino","España","",""
"260","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5935140","Jorge Galán","","masculino","El Salvador","",""
"261","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5937853","José Antonio Garriga Vela","","masculino","España","",""
"262","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5937885","José Antonio Gómez-Coronado","","masculino","España","",""
"263","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5937978","José Antonio Moreno Jurado","","masculino","España","",""
"264","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5940270","José Gutiérrez Román","","masculino","España","",""
"265","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5940635","José Infante","","masculino","España","",""
"266","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5941091","José Luis Alegre Cudós","","masculino","España","",""
"267","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5941457","José Luis Martín Descalzo","","masculino","España","",""
"268","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5941527","José Luis Muñoz Jimeno","","masculino","España","",""
"269","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5941703","José Luis Rodríguez del Corral","","masculino","España","",""
"270","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5942520","José Martínez Ros","","masculino","España","",""
"271","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5942731","José María Carrascal","","masculino","España","",""
"272","http://www.wikidata.org/entity/Q1280377","Premio Alfaguara de Novela","http://www.wikidata.org/entity/Q5944447","José Ovejero","","masculino","España","",""
"273","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5946046","José Vidal Cadellans","","masculino","España","",""
"274","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5947376","Juan Antonio Payno","","masculino","España","",""
"275","http://www.wikidata.org/entity/Q1630979","Premio Planeta","http://www.wikidata.org/entity/Q5947470","Juan Antonio Vallejo-Nágera","","masculino","España","",""
"276","http://www.wikidata.org/entity/Q1630979","Premio Planeta","http://www.wikidata.org/entity/Q5950373","Juan José Mira","","masculino","España","",""
"277","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5951358","Juan María Mansera Conde","","masculino","España","",""
"278","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5951962","Juan Pedro Aparicio","","masculino","España","",""
"279","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5952281","Juan Ramón Zaragoza","","masculino","España","",""
"280","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5954647","Julia Castillo","","femenino","España","",""
"281","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5983389","Luis Feria","","masculino","España","",""
"282","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q5984289","Luis Romero","","masculino","España","",""
"283","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5984608","Luis del Val","","masculino","España","",""
"284","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5985074","Luís Blanco Vila","","masculino","España","",""
"285","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5985267","Lázaro Covadlo","","masculino","Argentina","",""
"286","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q5994367","Manuel Silva Acevedo","","masculino","Chile","",""
"287","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q5997927","Mariano Roldán","","masculino","España","",""
"288","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q6002084","Martha Asunción Alonso","","femenino","España","",""
"289","http://www.wikidata.org/entity/Q3326922","Premio de la Crítica Española","http://www.wikidata.org/entity/Q6004752","María Victoria Atencia","","femenino","España","",""
"290","http://www.wikidata.org/entity/Q1088492","Premio Rómulo Gallegos","http://www.wikidata.org/entity/Q6056241","Pablo Montoya","","masculino","Colombia","",""
"291","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q6093361","Pureza Canelo","","femenino","España","",""
"292","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q6097011","Rafael Azuar","","masculino","España","",""
"293","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q6097985","Rafael Soto Vergés","","masculino","España","",""
"294","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q6108352","Ricardo Molina Tenor","","masculino","España","",""
"295","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q6113291","Rubén Martín Díaz","","masculino","España","",""
"296","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q6117687","Salvador García Aguilar","","masculino","España","",""
"297","http://www.wikidata.org/entity/Q1630979","Premio Planeta","http://www.wikidata.org/entity/Q6121095","Santiago Posteguillo","","masculino","España","",""
"298","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q6142618","Teresa Soto González","","femenino","España","",""
"299","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q6165428","Víctor Chamorro","","masculino","España","",""
"300","http://www.wikidata.org/entity/Q1280377","Premio Alfaguara de Novela","http://www.wikidata.org/entity/Q6169148","Xavier Velasco","","masculino","México","",""
