"","item","itemLabel","coord","lon","lat"
"114","http://www.wikidata.org/entity/Q11776837","Mediñá","Point(2.86521111 42.04948611)",2.86521111,42.04948611
"115","http://www.wikidata.org/entity/Q9080770","Suterraña","Point(0.9484 42.1522)",0.948417,42.1522
"116","http://www.wikidata.org/entity/Q11930326","La Cañada (Paterna)","Point(-0.48722222 39.52694444)",-0.48722222,39.52694444
"117","http://www.wikidata.org/entity/Q11696886","Orient (España)","Point(2.76 39.735)",2.76,39.735
"118","http://www.wikidata.org/entity/Q8193294","Albarca (España)","Point(0.90997778 41.29920556)",0.90997778,41.29920556
"119","http://www.wikidata.org/entity/Q8193904","Aldea del Rey Niño","Point(-4.74273056 40.58598333)",-4.74273056,40.58598333
"120","http://www.wikidata.org/entity/Q17182238","La Mata de Piñana","Point(0.587096 41.754668)",0.587096,41.754668
"121","http://www.wikidata.org/entity/Q16302513","Cañicosa","Point(-3.76765 41.104816666)",-3.76765,41.104816666667
"122","http://www.wikidata.org/entity/Q18377369","Moñón","Point(-6.935026 42.678501)",-6.935026,42.678501
"123","http://www.wikidata.org/entity/Q21558936","Baños de Ledesma","Point(-5.900888888 41.069916666)",-5.9008888888889,41.069916666667
"124","http://www.wikidata.org/entity/Q24009095","Muñomer del Peco","Point(-4.87992 40.85878)",-4.87992,40.85878
"125","http://www.wikidata.org/entity/Q8253670","Burceña","Point(-2.9774 43.2796)",-2.9774444444444,43.279583333333
"126","http://www.wikidata.org/entity/Q9051068","Nueva Montaña","Point(-3.84425 43.43952222)",-3.84425,43.43952222
"127","http://www.wikidata.org/entity/Q9055598","Pardiñas","Point(0.63722222 41.6225)",0.63722222,41.6225
"128","http://www.wikidata.org/entity/Q24012698","Redueña","Point(-3.59837 40.81685)",-3.59837,40.81685
"129","http://www.wikidata.org/entity/Q24010142","Nuñomoral","Point(-6.247902777 40.406477777)",-6.2479027777778,40.406477777778
"130","http://www.wikidata.org/entity/Q24012225","Brañosera","Point(-4.30833 42.9362)",-4.30833,42.9362
"131","http://www.wikidata.org/entity/Q24011049","Valdepeñas de la Sierra","Point(-3.386991666 40.907697222)",-3.3869916666667,40.907697222222
"132","http://www.wikidata.org/entity/Q24014148","Cerezal de Peñahorcada","Point(-6.652766666 41.130688888)",-6.6527666666667,41.130688888889
"133","http://www.wikidata.org/entity/Q24015150","Cañizar del Olivar","Point(-0.64567 40.81622)",-0.64567,40.81622
"134","http://www.wikidata.org/entity/Q35644894","Navamuñana","Point(-5.3743 40.4079)",-5.3742888888889,40.407922222222
"135","http://www.wikidata.org/entity/Q54152817","Cañamares","Point(-2.949986111 41.209808333)",-2.9499861111111,41.209808333333
"136","http://www.wikidata.org/entity/Q54303423","Robredo-Temiño","Point(-3.581113888 42.468172222)",-3.5811138888889,42.468172222222
